tweet_id,username,content_clean,hashtags,primary_hashtag,like_count,retweet_count,reply_count,engagement_score,sentiment_score,sentiment_label,script,timestamp
1267766662565506385,trader_136,"kal market phat sakta hai, buy on dips! #nifty50 23,125 zone is key here",['nifty50' 'niftytrading'],nifty50,326,41,28,492,1.0,bullish,latin,2026-09-17 21:44:53.064598Z
1594163273727402719,trader_196,"RBI policy meet tomorrow, expecting volatility in intraday thoughts?",['intraday'],intraday,281,45,20,431,0.0,neutral,latin,2026-09-18 02:12:43.009369Z
7150065852736216529,trader_209,"market bahut weak lag raha hai aaj, be careful #banknifty what are you all doing here",['banknifty' 'sensex'],banknifty,238,39,17,367,0.0,neutral,latin,2026-09-18 04:07:51.606069Z
1034792647756332892,trader_157,"Any views on nifty50 for tomorrow's session? #nifty50 closing above 23,300 would confirm it",['nifty50' 'niftytrading' 'sensex'],nifty50,228,48,6,342,0.0,neutral,latin,2026-09-18 05:09:52.255800Z
3355445282507574715,trader_154,"FII selling pressure continues, banknifty weak 23,750 zone is key here",['banknifty'],banknifty,199,43,14,327,-1.0,bearish,latin,2026-09-18 00:44:51.885927Z
1957816834589827346,trader_019,"Results season starting, keep an eye on nifty50 earnings eyeing 20,275 as the level to watch",['nifty50'],nifty50,222,25,5,287,0.0,neutral,latin,2026-09-18 06:37:40.859636Z
1014512096338229408,trader_160,"ATH incoming for sensex, don't fight the trend #stockmarketindia let's see how the last hour plays out",['sensex' 'stockmarketindia'],stockmarketindia,155,32,20,279,1.0,bullish,latin,2026-09-18 09:08:06.399412Z
3356349977743519964,trader_096,"Results season starting, keep an eye on intraday earnings eyeing 21,225 as the level to watch",['banknifty' 'intraday'],intraday,161,38,10,267,0.0,neutral,latin,2026-09-17 19:16:15.856688Z
1276893136101001162,trader_040,"Banknifty holding support beautifully, bullish structure intact #sensex",['sensex'],sensex,139,33,10,235,1.0,bullish,latin,2026-09-18 10:01:05.130213Z
3085570120691872618,trader_094,"ATH incoming for sensex, don't fight the trend #banknifty let's see how the last hour plays out",['banknifty' 'niftytrading'],banknifty,132,26,17,235,1.0,bullish,latin,2026-09-17 21:45:15.810058Z
1193845275115833199,trader_006,"banknifty crash ho gaya, stop loss hit on 3 positions #banknifty what are you all doing here",['banknifty' 'sensex' 'stockmarketindia'],banknifty,123,30,17,234,-1.0,bearish,latin,2026-09-18 02:05:21.227424Z
4596964641581782166,trader_169,"Bearish engulfing on daily chart, sell on rallies #intraday been a wild session honestly",['intraday'],intraday,154,8,11,203,-1.0,bearish,latin,2026-09-18 10:07:50.420832Z
3382254078588162990,trader_026,"Banknifty holding support beautifully, bullish structure intact #banknifty this is just my view, not advice",['banknifty' 'stockmarketindia'],banknifty,145,9,12,199,1.0,bullish,latin,2026-09-18 03:10:35.306352Z
2267205257630875696,trader_162,"Nifty breakdown below support, expecting more downside #niftytrading",['niftytrading'],niftytrading,138,21,5,195,-1.0,bearish,latin,2026-09-18 10:46:43.131739Z
1497383213263500009,trader_254,"Booked losses today, this correction isn't over #sensex small position, managing risk",['sensex'],sensex,102,21,10,174,-1.0,bearish,latin,2026-09-18 01:47:42.141993Z
3348790938007005225,trader_166,"kal market phat sakta hai, buy on dips! #intraday",['banknifty' 'intraday' 'niftytrading'],intraday,99,14,13,166,1.0,bullish,latin,2026-09-18 04:17:59.163933Z
2101822403776839182,trader_174,"Nifty breaking out above resistance, banknifty looking strong for tomorrow small position, managing risk",['banknifty'],banknifty,92,18,11,161,0.0,neutral,latin,2026-09-17 22:21:22.427354Z
3328129584702759902,trader_223,"FII selling pressure continues, stockmarketindia weak",['nifty50' 'stockmarketindia'],stockmarketindia,98,8,14,156,-1.0,bearish,latin,2026-09-18 08:51:52.942874Z
3328216562672357310,trader_157,"Any views on sensex for tomorrow's session? #sensex eyeing 24,525 as the level to watch",['sensex'],sensex,96,23,4,154,0.0,neutral,latin,2026-09-18 05:43:51.627950Z
